epoch,train_micro_p,train_micro_r,train_micro_f1,train_macro_p,train_macro_r,train_macro_f1,val_micro_p,val_micro_r,val_micro_f1,val_macro_p,val_macro_r,val_macro_f1
51,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5098,0.4175,0.4590,0.2027,0.1581,0.1729
52,1.0000,0.9000,0.9474,0.2000,0.2000,0.2000,0.5108,0.3943,0.4451,0.2055,0.1549,0.1700
53,0.8182,0.7500,0.7826,0.2167,0.2222,0.2156,0.5020,0.3950,0.4421,0.1926,0.1550,0.1692
54,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5098,0.4175,0.4590,0.2038,0.1593,0.1734
55,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5085,0.4046,0.4506,0.1894,0.1539,0.1669
56,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.4890,0.3995,0.4397,0.1927,0.1646,0.1750
57,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.4996,0.4290,0.4616,0.2014,0.1610,0.1720
58,1.0000,1.0000,1.0000,0.1333,0.1333,0.1333,0.5133,0.3976,0.4481,0.2052,0.1602,0.1767
59,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5041,0.3937,0.4421,0.1812,0.1560,0.1657
60,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5148,0.4033,0.4523,0.2013,0.1607,0.1757
61,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5064,0.4066,0.4510,0.2020,0.1614,0.1768
62,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.5052,0.4033,0.4486,0.1943,0.1548,0.1684
63,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5047,0.4451,0.4730,0.1958,0.1631,0.1711
64,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5040,0.4040,0.4485,0.1918,0.1583,0.1707
65,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.4980,0.4066,0.4477,0.1985,0.1607,0.1739
66,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5075,0.4104,0.4538,0.2022,0.1576,0.1736
67,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.4924,0.4136,0.4496,0.1875,0.1596,0.1687
68,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.4959,0.4245,0.4574,0.2077,0.1630,0.1777
69,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.4945,0.4322,0.4613,0.2064,0.1675,0.1794
70,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.5000,0.4136,0.4527,0.2075,0.1614,0.1778
71,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5111,0.4136,0.4572,0.1995,0.1572,0.1726
72,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.4966,0.3706,0.4244,0.1923,0.1515,0.1667
73,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5023,0.4162,0.4552,0.1996,0.1631,0.1758
74,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5016,0.4149,0.4541,0.1881,0.1573,0.1664
75,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5041,0.4374,0.4684,0.2053,0.1697,0.1821
76,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.5067,0.3892,0.4402,0.2031,0.1540,0.1714
77,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.4945,0.4014,0.4431,0.1998,0.1601,0.1751
78,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5096,0.4104,0.4546,0.2091,0.1594,0.1770
79,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5016,0.3937,0.4412,0.2064,0.1571,0.1759
80,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5036,0.4059,0.4495,0.2021,0.1584,0.1745
81,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5062,0.4181,0.4580,0.1996,0.1594,0.1738
82,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5000,0.4072,0.4488,0.1930,0.1622,0.1737
83,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5075,0.3924,0.4426,0.2016,0.1499,0.1673
84,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5130,0.4066,0.4536,0.2085,0.1580,0.1755
85,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5036,0.4008,0.4464,0.1904,0.1582,0.1703
86,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.4943,0.3873,0.4343,0.1994,0.1465,0.1619
87,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5103,0.3988,0.4477,0.1983,0.1574,0.1725
88,1.0000,1.0000,1.0000,0.1333,0.1333,0.1333,0.5045,0.3950,0.4431,0.1919,0.1543,0.1679
89,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5068,0.4040,0.4496,0.1992,0.1585,0.1739
90,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5028,0.4040,0.4480,0.1927,0.1548,0.1671
91,1.0000,0.9167,0.9565,0.2667,0.2667,0.2667,0.5028,0.4098,0.4515,0.1988,0.1557,0.1706
92,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5074,0.3976,0.4458,0.1967,0.1527,0.1691
93,1.0000,1.0000,1.0000,0.1333,0.1333,0.1333,0.4958,0.4181,0.4537,0.1886,0.1604,0.1688
94,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5004,0.4226,0.4582,0.1888,0.1612,0.1657
95,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.4959,0.4265,0.4586,0.2034,0.1650,0.1781
96,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5064,0.4078,0.4518,0.1951,0.1586,0.1718
97,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.4976,0.3969,0.4416,0.1916,0.1508,0.1651
98,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5046,0.3899,0.4399,0.1897,0.1565,0.1678
99,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.4947,0.4162,0.4520,0.1879,0.1626,0.1707
100,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5132,0.4130,0.4577,0.1997,0.1581,0.1733
